                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8239,                 3.0501,                 1.5816,                0.39076,                0.19247,                0.15487,                0.03586,                 1.9602,                  4.559,                 1.1133,             0.00066333,             0.00066333,             0.00066333
                      2,                 1.7896,                 2.0694,                 1.5334,                0.30813,                0.09623,                0.06866,                0.01508,                 1.6778,                 3.2403,                 1.0261,              0.0012642,              0.0012642,              0.0012642
                      3,                 1.7521,                 1.7717,                 1.5244,                0.16438,                0.05439,                0.03463,                 0.0079,                 1.7715,                 3.5462,                 0.9905,               0.001799,               0.001799,               0.001799
                      4,                 1.7399,                 1.6178,                 1.4963,                0.22098,                0.05021,                0.05017,                0.01635,                 1.8636,                 2.8022,                 1.0095,               0.001703,               0.001703,               0.001703
                      5,                 1.6728,                 1.5017,                 1.4754,                0.38118,                0.03766,                0.03408,                0.00824,                 1.6963,                   2.45,                0.96898,               0.001604,               0.001604,               0.001604
                      6,                 1.6441,                 1.4329,                 1.4357,                0.14859,                0.02092,                0.02659,                0.00743,                 1.6623,                 2.4748,                0.90596,               0.001505,               0.001505,               0.001505
